frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
138,6.850206,1,813.121,454.509,1,649.133,444.700,1,584.194,550.030,1,519.886,482.523,1,487.476,465.803,1,504.755,469.481,1
139,6.917037,1,812.728,454.661,1,649.137,444.891,1,584.182,550.053,1,519.839,482.499,1,487.364,465.790,1,504.710,469.476,1
140,6.950453,1,812.513,454.722,1,649.210,444.975,1,584.746,550.054,1,520.142,482.555,1,487.595,465.729,1,505.080,469.473,1
141,7.017284,1,811.671,454.328,1,649.636,444.979,1,584.871,550.084,1,520.173,482.157,1,487.575,464.693,1,505.100,468.800,1
142,7.050700,1,811.008,454.196,1,650.263,444.983,1,584.849,550.264,1,519.744,481.271,1,487.030,463.577,1,504.764,468.089,1
143,7.117531,1,810.597,454.236,1,650.666,444.889,1,584.602,550.726,1,519.585,481.163,1,486.976,462.906,1,504.661,467.668,1
144,7.150947,1,810.255,454.234,1,650.923,444.907,1,584.593,550.803,1,519.587,481.178,1,487.072,462.736,1,504.642,467.512,1
145,7.217778,1,809.277,453.953,1,650.937,445.321,1,584.588,550.987,1,519.544,480.949,1,487.173,461.590,1,504.630,466.730,1
146,7.251193,1,808.819,453.974,1,650.927,445.447,1,584.258,551.182,1,519.536,480.669,1,487.276,460.874,1,504.686,466.176,1
147,7.318025,1,808.363,453.986,1,650.984,445.634,1,583.295,551.460,1,519.508,480.435,1,487.355,459.363,1,504.750,465.277,1
148,7.351440,1,808.978,454.035,1,650.983,445.812,1,582.931,552.156,1,519.957,480.783,1,488.359,459.252,1,505.782,465.276,1
149,7.418272,1,809.039,454.049,1,650.976,445.908,1,581.906,552.824,1,520.166,480.780,1,489.037,457.012,1,506.585,464.127,1
150,7.451687,1,809.242,454.153,1,651.033,445.954,1,581.212,553.465,1,520.455,480.813,1,490.024,455.639,1,507.382,463.392,1
151,7.518519,1,809.390,454.656,1,651.198,445.951,1,580.463,553.802,1,520.357,480.228,1,489.996,452.054,1,507.373,460.640,1
152,7.551934,1,809.444,454.973,1,651.359,445.882,1,580.312,553.988,1,520.332,479.629,1,489.975,450.281,1,507.353,458.852,1
153,7.618765,1,809.457,454.959,1,651.578,445.886,1,580.128,554.131,1,520.335,478.250,1,490.302,448.203,1,507.474,456.991,1
154,7.652181,1,809.580,455.115,1,651.935,445.887,1,580.107,554.425,1,520.368,477.988,1,490.806,446.933,1,507.689,456.067,1
155,7.719012,1,809.651,455.245,1,652.121,445.908,1,579.978,554.716,1,520.366,476.874,1,490.940,445.443,1,507.687,454.684,1
156,7.752428,1,809.889,455.359,1,652.155,445.935,1,579.767,554.855,1,520.304,474.881,1,491.321,443.832,1,507.710,453.048,1
157,7.819259,1,809.931,455.490,1,652.109,445.941,1,579.614,554.989,1,520.293,473.828,1,492.159,442.215,1,507.938,451.790,1
158,7.852675,1,809.973,455.767,1,652.112,445.864,1,579.423,554.998,1,520.327,473.100,1,493.012,441.055,1,508.462,450.958,1
159,7.919506,1,809.980,455.925,1,652.159,445.851,1,578.675,555.012,1,520.293,472.129,1,493.642,439.448,1,508.643,449.153,1
160,7.952922,1,809.919,456.098,1,652.473,445.868,1,578.076,555.036,1,520.301,470.314,1,494.195,437.933,1,508.917,447.432,1
161,8.019753,1,809.924,456.152,1,652.609,445.843,1,578.086,555.223,1,520.983,470.409,1,496.966,437.323,1,510.876,447.168,1
162,8.053169,1,809.391,456.168,1,652.619,445.728,1,578.219,555.223,1,521.338,469.887,1,497.994,435.946,1,511.481,445.567,1
163,8.120000,1,808.985,456.326,1,652.617,445.653,1,578.198,555.204,1,521.511,469.544,1,499.881,434.124,1,512.738,444.342,1
164,8.153416,1,808.503,456.548,1,652.614,445.504,1,578.195,555.145,1,521.681,468.651,1,501.049,432.120,1,513.660,442.419,1
165,8.220247,1,808.248,456.760,1,652.578,445.291,1,578.349,555.147,1,521.981,468.788,1,502.258,431.671,1,514.485,442.370,1
166,8.253663,1,808.014,456.996,1,652.565,445.110,1,578.757,555.152,1,522.223,468.961,1,503.258,431.509,1,515.118,442.561,1
167,8.320494,1,807.852,457.146,1,652.556,444.775,1,579.213,555.150,1,522.530,469.059,1,504.450,430.948,1,515.864,442.125,1
168,8.353909,1,807.650,457.188,1,652.547,444.456,1,579.538,555.126,1,522.710,469.061,1,505.223,430.236,1,516.355,441.560,1
169,8.420741,1,807.360,457.184,1,652.550,444.192,1,580.176,555.120,1,523.089,469.027,1,506.587,429.324,1,517.507,440.951,1
170,8.454156,1,807.254,457.145,1,652.543,444.165,1,580.687,555.168,1,523.380,469.075,1,507.606,429.057,1,518.376,440.939,1
171,8.520988,1,807.174,457.110,1,652.406,444.347,1,580.772,555.503,1,523.482,469.756,1,509.232,428.951,1,519.423,441.054,1
172,8.554403,1,807.143,457.098,1,652.289,444.445,1,580.861,555.782,1,523.568,470.358,1,509.931,428.942,1,519.946,441.119,1
173,8.621235,1,807.192,457.052,1,652.212,444.573,1,580.806,555.916,1,523.571,470.135,1,510.407,427.673,1,520.285,440.024,1
174,8.654650,1,807.218,457.044,1,652.199,444.617,1,580.745,556.072,1,523.711,470.029,1,511.180,427.424,1,520.982,439.776,1
175,8.721481,1,807.263,457.058,1,652.220,444.706,1,580.772,556.195,1,524.212,470.041,1,512.800,427.204,1,522.332,439.804,1
176,8.754897,1,807.254,457.083,1,652.216,444.759,1,580.786,556.312,1,524.296,469.726,1,513.308,426.426,1,523.023,439.129,1
177,8.821728,1,807.187,457.106,1,652.488,444.766,1,580.937,556.340,1,524.918,469.183,1,515.444,424.464,1,524.855,437.800,1
178,8.855144,1,807.180,457.112,1,652.667,444.843,1,581.019,556.315,1,525.445,468.011,1,517.148,422.780,1,526.433,436.225,1
179,8.921975,1,807.223,457.132,1,652.874,444.897,1,581.059,556.318,1,525.531,467.166,1,517.535,422.200,1,526.655,435.230,1
180,8.955391,1,807.421,457.170,1,652.982,444.919,1,581.230,556.450,1,525.750,467.118,1,517.961,422.223,1,526.947,435.119,1
181,9.022222,1,809.479,457.542,1,652.976,445.144,1,581.343,556.462,1,526.126,467.054,1,518.721,422.399,1,527.777,435.219,1
182,9.055638,1,810.788,457.567,1,653.021,445.752,1,581.442,556.474,1,526.270,466.614,1,519.111,422.320,1,528.204,434.770,1
183,9.122469,1,810.984,457.890,1,653.194,445.871,1,581.996,556.362,1,526.726,466.633,1,520.115,422.418,1,528.710,434.829,1
184,9.155885,1,810.937,457.996,1,653.485,446.013,1,582.032,556.136,1,527.225,466.647,1,521.328,422.474,1,529.484,434.886,1
185,9.222716,1,810.628,458.046,1,653.630,446.098,1,581.829,556.028,1,527.623,466.453,1,522.663,422.155,1,530.520,434.391,1
186,9.256132,1,810.251,458.209,1,653.727,446.203,1,581.675,555.881,1,528.223,466.291,1,523.749,421.889,1,531.457,433.961,1
187,9.322963,1,809.740,458.304,1,653.744,446.404,1,581.497,555.869,1,529.133,466.298,1,525.048,421.811,1,532.643,433.982,1
188,9.356379,1,809.453,458.335,1,653.703,446.508,1,581.008,555.852,1,529.256,466.259,1,525.808,421.406,1,533.320,433.596,1
189,9.423210,1,809.442,458.372,1,653.707,446.781,1,580.929,555.886,1,529.355,466.211,1,526.744,421.346,1,534.035,433.471,1
190,9.456626,1,809.334,458.443,1,653.686,446.911,1,580.682,555.897,1,529.429,465.976,1,527.467,421.083,1,534.625,433.187,1
191,9.523457,1,809.322,458.476,1,653.687,447.396,1,580.665,555.948,1,529.435,465.888,1,528.194,420.662,1,535.268,432.681,1
